env,geno,rep,rytha,fytha,dm
CH06,Yanshu_1,2,6.3,1.11,28.63
GD08,Beauregard,1,11.55,14.95,30.8
GD08,Beauregard,2,5.15,7.9,34.35
GD08,Blesbok,1,17.3,26.7,33.05
GD08,Blesbok,2,3.1,6.4,32.7
GD08,Brondal,1,11.05,21.3,25.1
GD08,Brondal,2,11.5,21.95,24.4
GD08,CEMSA_74-228,1,9.8,16.4,36.5
GD08,CEMSA_74-228,2,5.05,11.2,32.35
GD08,Jewel,1,3,11.7,28.5
GD08,Jewel,2,2.7,10.6,29.8
GD08,Jonathan,1,1,9.1,27.75
GD08,Jonathan,2,2.2,9.7,28
GD08,Mohc,1,11.35,18.45,31.45
GD08,Mohc,2,1.1,7.4,33.2
GD08,NCSU_1560,1,17.35,26,30.65
GD08,NCSU_1560,2,8.3,14.85,31.7
GD08,Resisto,1,8.3,15.65,30.15
GD08,Resisto,2,4,8.2,31.15
GD08,Santo_Amaro,1,6.85,21.9,34.5
GD08,Santo_Amaro,2,0.9,11.2,35.3
GD08,Tanzania,1,18.35,37.4,35.1
GD08,Tanzania,2,3.25,12.45,38.8
GD08,Xushu_18,1,7.1,13,29.6
GD08,Xushu_18,2,6.9,13.65,23.05
GD08,Yanshu_1,1,1,5.55,30.5
GD08,Yanshu_1,2,0.25,4.25,33.9
GW08,Beauregard,1,18.75,21.75,17.385
GW08,Beauregard,2,21.3,24.45,23.08
GW08,Blesbok,1,25.05,27.8,23.285
GW08,Blesbok,2,24.05,27,21.655
GW08,Brondal,1,23.3,25.5,27.39
GW08,Brondal,2,18.2,20.35,30.16
GW08,CEMSA_74-228,1,25.9,29.05,34.23
GW08,CEMSA_74-228,2,24.85,28.9,33.5
GW08,Jewel,1,15.15,18.45,31.085
GW08,Jewel,2,17.05,20.65,28.845
GW08,Jonathan,1,12.65,19.35,27.735
GW08,Jonathan,2,14.55,22.1,26.505
GW08,Mohc,1,23.8,29.4,31.25
GW08,Mohc,2,16.7,18.95,31.195
GW08,NCSU_1560,1,28.2,32.15,27.5
GW08,NCSU_1560,2,28.6,32.3,23.63
GW08,Resisto,1,12.75,15.5,23.785
GW08,Resisto,2,18.6,22,27.82
GW08,Santo_Amaro,1,9.6,16.7,36.51
GW08,Santo_Amaro,2,10.05,17.2,37.1
GW08,Tanzania,1,20.4,29.15,35.51
GW08,Tanzania,2,15.6,20.3,38
GW08,Xushu_18,1,20.2,23,29.8
GW08,Xushu_18,2,26.15,32.6,33.8
GW08,Yanshu_1,1,4.8,11.45,25.95
GW08,Yanshu_1,2,4.55,12.45,22.595
GW09,Beauregard,1,15.25,29.05,17.2
GW09,Beauregard,2,16.45,24.4,23.05
GW09,Blesbok,1,22.5,28.85,23.3
GW09,Blesbok,2,12.45,41,21.65
GW09,Brondal,1,13.2,18.3,27.35
GW09,Brondal,2,15.1,29.4,30.15
GW09,CEMSA_74-228,1,10.55,17.6,34.25
GW09,CEMSA_74-228,2,15.25,22.6,33.5
GW09,Jewel,1,11.25,16.65,31.1
GW09,Jewel,2,20.65,37.4,28.85
GW09,Jonathan,1,18.1,24.95,27.75
GW09,Jonathan,2,12.5,18.15,26.4
GW09,Mohc,1,19.6,32.85,31.25
GW09,Mohc,2,30.95,41.75,31.2
GW09,NCSU_1560,1,16.9,22.85,27.5
GW09,NCSU_1560,2,28.95,55.95,23.6
GW09,Resisto,1,14.5,27.65,23.75
GW09,Resisto,2,23.35,32.55,27.8
GW09,Santo_Amaro,1,2.6,14.85,36.5
GW09,Santo_Amaro,2,13.2,26.55,37.1
GW09,Tanzania,1,17.55,32,35.5
GW09,Tanzania,2,8.3,16.25,39.65
GW09,Xushu_18,1,15.6,24.3,29.8
GW09,Xushu_18,2,21.4,40.85,33.8
GW09,Yanshu_1,1,4.7,17.7,25.95
GW09,Yanshu_1,2,28.3,39.65,22.6
LM06,Beauregard,1,37.78,16.3,19.72
LM06,Beauregard,2,43.26,40,21.3
LM06,Blesbok,1,57.04,53.33,23.15
LM06,Blesbok,2,51.41,54.81,23.11
LM06,Brondal,1,31.85,48.89,27.69
LM06,Brondal,2,22.22,56.3,25.45
LM06,CEMSA_74-228,1,35.56,28.15,33.66
LM06,CEMSA_74-228,2,28.15,32.59,29.5
LM06,Jewel,1,42.22,34.07,24.45
LM06,Jewel,2,11.56,47.41,24.85
LM06,Jonathan,1,12.59,42.96,25.79
LM06,Jonathan,2,5.19,44.44,26.77
LM06,Mohc,1,11.11,53.33,33.8
LM06,Mohc,2,25.19,74.07,32.67
LM06,NCSU_1560,1,34.07,35.56,25.65
LM06,NCSU_1560,2,24.44,63.7,27.29
LM06,Resisto,1,28.15,32.59,23.61
LM06,Resisto,2,33.33,60.74,23.61
LM06,Santo_Amaro,1,17.78,54.81,31.69
LM06,Santo_Amaro,2,8.89,79.26,31.04
LM06,Tanzania,1,10.37,82.96,32.47
LM06,Tanzania,2,20.74,133.33,32.74
LM06,Xushu_18,1,37.78,47.41,30.63
LM06,Xushu_18,2,44.74,54.81,29.7
LM06,Yanshu_1,1,28.89,22.22,28.77
LM06,Yanshu_1,2,47.41,60.74,29.9
MA08,Beauregard,1,16.63,50,20
MA08,Beauregard,2,8.24,43.5,23.5
MA08,Blesbok,1,33.75,46,28
MA08,Blesbok,2,37.17,41.5,28
MA08,Brondal,1,40.24,50.2,24.5
MA08,Brondal,2,38.21,56,22
MA08,CEMSA_74-228,1,29.99,45,29.5
MA08,CEMSA_74-228,2,31.67,40.5,29.5
MA08,Jewel,1,12.6,42,26
MA08,Jewel,2,9.9,38.4,28
MA08,Jonathan,1,12.96,70,29
MA08,Jonathan,2,15.48,63.4,31
MA08,Mohc,1,26.92,41,28
MA08,Mohc,2,33.73,37.6,28
MA08,NCSU_1560,1,35.04,58,27
MA08,NCSU_1560,2,23.42,51,26
MA08,Resisto,1,18.28,52.6,26
MA08,Resisto,2,18.19,47.6,27
MA08,Santo_Amaro,1,8.18,65,34.5
MA08,Santo_Amaro,2,6.84,60,34
MA08,Tanzania,1,2.54,27.5,32.5
MA08,Tanzania,2,4.35,30.6,31.5
MA08,Xushu_18,1,40.88,20.4,30
MA08,Xushu_18,2,37.78,23.6,28.5
MA08,Yanshu_1,1,9.26,54,23.5
MA08,Yanshu_1,2,22.76,60,21.5
OX06,Beauregard,1,27.56,28.3,31.87
OX06,Beauregard,2,2.07,22.07,20.56
OX06,Blesbok,1,43.11,23.85,19.98
OX06,Blesbok,2,14.52,26.67,22.58
OX06,Brondal,1,30.81,28.44,25.1
OX06,Brondal,2,17.19,36.44,22.11
OX06,CEMSA_74-228,1,9.63,26.96,28.02
OX06,CEMSA_74-228,2,12.74,49.72,27.51
OX06,Jewel,1,36.59,22.52,23.45
OX06,Jewel,2,18.22,41.63,25.1
OX06,Jonathan,1,14.07,19.85,24.48
OX06,Jonathan,2,18.52,37.78,29.01
OX06,Mohc,1,5.63,37.33,30.01
OX06,Mohc,2,17.63,40,29.76
OX06,NCSU_1560,1,26.07,20.15,21.69
OX06,NCSU_1560,2,24.44,19.11,23.8
OX06,Resisto,1,21.48,17.63,24.85
OX06,Resisto,2,12.15,22.67,24.8
OX06,Santo_Amaro,1,4.3,25.78,27.08
OX06,Santo_Amaro,2,4.89,25.19,32.04
OX06,Tanzania,1,17.78,33.33,29.81
OX06,Tanzania,2,4.89,59.26,32
OX06,Xushu_18,1,17.04,8.74,28.27
OX06,Xushu_18,2,31.11,22.52,27.19
OX06,Yanshu_1,1,17.48,16.3,21.27
OX06,Yanshu_1,2,13.19,12.89,23.61
SR06,Beauregard,1,23.7,10.67,26.99
SR06,Beauregard,2,26.96,17.78,24.88
SR06,Blesbok,1,27.85,21.04,28.57
SR06,Blesbok,2,29.19,21.33,27.82
SR06,Brondal,1,41.33,22.81,33.37
SR06,Brondal,2,33.63,15.41,34.1
SR06,CEMSA_74-228,1,51.11,17.04,37.93
SR06,CEMSA_74-228,2,44,24.59,36.88
SR06,Jewel,1,43.85,17.93,31.4
SR06,Jewel,2,44.89,16.44,29.89
SR06,Jonathan,1,12.59,5.78,35.25
SR06,Jonathan,2,11.7,9.19,28.83
SR06,Mohc,1,22.96,6.52,34.76
SR06,Mohc,2,24.44,13.63,30.32
SR06,NCSU_1560,1,8,3.7,26.12
SR06,NCSU_1560,2,9.63,2.96,23.35
SR06,Resisto,1,14.96,9.48,33
SR06,Resisto,2,31.7,19.85,28.94
SR06,Santo_Amaro,1,26.81,26.96,30.65
SR06,Santo_Amaro,2,8.59,6.22,NA
SR06,Tanzania,1,9.04,16.89,33.93
SR06,Tanzania,2,6.07,16.3,34.73
SR06,Xushu_18,1,23.7,7.56,33.04
SR06,Xushu_18,2,2.96,1.93,31.21
SR06,Yanshu_1,1,36.89,16.3,39.1
SR06,Yanshu_1,2,15.85,4.44,36.42
UD08,Beauregard,1,7.05,11.25,30.6
UD08,Beauregard,2,6.95,9.1,23.1
UD08,Blesbok,1,4.4,7.7,24.1
UD08,Blesbok,2,2.85,7.05,24.4
UD08,Brondal,1,1.8,2.7,21.8
UD08,Brondal,2,5.85,6.8,24.95
UD08,CEMSA_74-228,1,9.3,15.2,30.5
UD08,CEMSA_74-228,2,10.1,15.65,31
UD08,Jewel,1,4.9,8.9,24.1
UD08,Jewel,2,4,8.5,26.35
UD08,Jonathan,1,1.75,2.75,26.15
UD08,Jonathan,2,1.8,3.4,28.8
UD08,Mohc,1,3.5,9,30.85
UD08,Mohc,2,2.85,8.35,30.4
UD08,NCSU_1560,1,11.65,16.35,24.1
UD08,NCSU_1560,2,5.95,8,25.7
UD08,Resisto,1,3.9,6.8,29.8
UD08,Resisto,2,4.6,8.7,27.6
UD08,Santo_Amaro,1,1.5,8.85,30.8
UD08,Santo_Amaro,2,1.65,12,31.85
UD08,Tanzania,1,2.95,11.55,32.6
UD08,Tanzania,2,3.8,12.6,36.85
UD08,Xushu_18,1,11.5,15.35,28.8
UD08,Xushu_18,2,8.55,10.35,29.8
UD08,Yanshu_1,1,1.85,7.05,20.7
UD08,Yanshu_1,2,3.2,10.7,18.85
UW08,Beauregard,1,2.1,6.65,23.35
UW08,Beauregard,2,1.55,18.15,25.3
UW08,Blesbok,1,7.2,14.55,24.15
UW08,Blesbok,2,2.7,4.15,24.7
UW08,Brondal,1,0.85,7.9,24.65
UW08,Brondal,2,4.2,8.75,26.2
UW08,CEMSA_74-228,1,23.05,38.1,29
UW08,CEMSA_74-228,2,27.9,30.6,32.2
UW08,Jewel,1,9.6,19.95,27.25
UW08,Jewel,2,4.9,17.9,22.85
UW08,Jonathan,1,9.65,20.8,26.4
UW08,Jonathan,2,1.55,13.6,29.55
UW08,Mohc,1,4.3,23.4,35.15
UW08,Mohc,2,2.35,33.75,34.9
UW08,NCSU_1560,1,10.8,17.85,28.1
UW08,NCSU_1560,2,4.65,15.15,27.1
UW08,Resisto,1,1.8,5,25.25
UW08,Resisto,2,0.55,9.3,29.3
UW08,Santo_Amaro,1,0.8,11,31.2
UW08,Santo_Amaro,2,0.7,9.05,32.9
UW08,Tanzania,1,1.15,19.75,33.85
UW08,Tanzania,2,2.3,24.05,34.65
UW08,Xushu_18,1,20.55,30.45,31
UW08,Xushu_18,2,23.65,39.1,27.6
UW08,Yanshu_1,1,4.4,25.2,26.15
UW08,Yanshu_1,2,2,27.05,23.2
